title,is_multiple,choices,correct_choice,solution
 한글 Windows 98에서 사용하는 단축키에 대한 설명이다. 다음 중 옳지 않은 것은?,no, F2 : 선택한 파일/폴더의 이름 변경하기 ||  F3 : 파일/폴더 찾기로 전환된다. ||  F4 : 최신 정보로 고치기 ||  F8 : 부팅 시 메뉴 표시,,
 프로그램에 대한 다음 설명 중 가장 옳지 않은 것은?,no, 프로그램을 작성하기 위해 사용하는 언어를 기계어(Machine Language)라고 한다. ||  컴퓨터가 인식하는 명령어를 논리적으로 순서에 맞게 나열하여 모아놓은 것을 프로그램이라 한다. ||  컴퓨터 명령어를 이용하여 프로그램을 작성하는 작업을 프로그래밍(Programming)이라 한다. ||  프로그램을 작성하는 사람을 프로그래머(Programmer)라 한다.,,
" 네트워크간에 물리적, 논리적으로 연결해 주기 위해서는 네트워크간을 연결해주는 인터넷워킹 기기가 필요하다. 다음 중에서 이와 관련이 없는 것은 어느 것인가?",no, 리피터(Repeater) ||  라우터(Router) ||  브리지(Bridge) ||  패킷(Packet),,
 현재 인터넷에서 사용되고 있는 IP 구조는 IPv4이다. 그러나 이 주소 체계는 IP가 부족하므로 보완된 차세대 IP 구조인 IPv6가 사용될 예정이다. 이 차세대 IP구조는 몇 비트로 구성되어 있나?,no, 32비트 ||  64비트 ||  128비트 ||  256비트,,
 다음 인터넷에 관한 설명 중 가장 옳지 않은 것은?,no," 인터넷 웹 문서의 이미지 파일은 파일 형식을 GIF, PCX만 지원한다. ||  클라이언트와 서버간의 프로토콜로 HTTP가 있다. ||  인터넷 망을 이용하여 회사 내에 업무를 공유하는 네트워크를 구축하는 것을 인트라넷(Intranet)이라 부른다. ||  인터넷상의 파일 전송 프로토콜로 FTP가 있다.",,
 인터넷 통신 프로토콜에 대한 다음 설명 중 가장 옳지 않은 것은?,no, TCP/IP 구조에서 IP(Internet Protocol)는 주로 인터넷 주소 지정에 대한 약속과 이 주소를 바탕으로 통신 상대방에게 자신의 메시지를 전송할 수 있는 경로설정에 관련된 일을 수행한다. ||  TCP/IP 구조에서 TCP(Transmission Control Protocol)는 통신 중에 패킷이 망의 오류로 인해 사라지거나 손상을 입거나 순서가 바뀌었을 때 이를 바로잡아 주는 일 등을 수행한다. ||  DNS(Domain Name System)서버는 사용자가 도메인 네임을 사용할 경우 이를 IP주소로 바꾸어 주는 역할을 수행한다. ||  IP주소는 사용자의 아이디와 도메인네임을 ‘@’ 기호를 사용하여 구성된다. 예를 들어 사용자 아이디가 leewh 이라면 leewh@koruniv.ac.kr로 나타낸다.,,
 다음 중 정보 보안을 위해 필요한 조치로 가장 거리가 먼 것은?,no, 방화벽(Firewall)을 설치하여 네트워크를 관리한다. ||  중요한 부분은 암호화하되 암호는 쉽게 도용당하지 않는 것으로 만든다. ||  불법적인 접근에 대한 접근 통제도구를 개발하여 사용한다. ||  서버에 대한 불법적인 접근을 방지하기 위해 근무시간 외에는 서버의 전원을 끈다.,,
 다음에서 설명하고 있는 증후군은 무엇인가?,no, ADT 증후군 ||  VDT 증후군 ||  UPS 증후군 ||  MELISSA 증후군,,
 다음 중 멀티미디어 기술의 최근 동향이 아닌 것은?,no, 처리 속도의 고속화 ||  환경의 네트워크화 ||  기술의 표준화 ||  시스템의 대형화,,
" 컴퓨터 음악기기의 인터페이스 방법으로 음악 합성기, 디지털 피아노 등의 전자음악기기들을 컴퓨터에 연결하여 제어하고 관리하는 표준 인터페이스는?",no, CD ||  MIDI ||  MP3 ||  RA,,
 셀에 입력한 내용 중 문자열로 인식되지 않는 것은?,no, ‘2001 ||  120*20 ||  ,,
"54E+04BB4XX Excel 다음 워크시트에서 A1 셀에 대하여 채우기 핸들을 이용하여 A2, A3, A4까지 드래그 했을 때 A4 셀에 나타나는 데이터는?",no, 01-Excel95 ||  01-Excel98 ||  04-Excel98 ||  04-Excel,,
 창 나누기는 워크시트의 내용을 화면의 여러 창에서 동시에 표시하고자 할 때 주로 이용되는 기능이다. 아래 그림과 같이 창 나누기를 하려면 먼저 셀 포인터를 어느 셀에 위치시켜야 하는가?,no, C3 ||  D3 ||  C4 ||  D,,
 다음은 문자열 메뉴나 도구상자를 이용하지 않으면서 특정 시트와 똑같은 시트를 복사하는 방법에 대한 설명이다. 올바른 방법은 어느 것인가?,no, [Ctrl]키를 누르고 해당 시트의 탭을 클릭한 상태에서 원하는 위치에 끌어다 놓는다. ||  [Shift]키를 누르고 해당 시트의 탭을 클릭한 상태에서 원하는 위치에 끌어다 놓는다. ||  [Alt]키를 누르고 해당 시트의 탭을 클릭한 상태에서 원하는 위치에 끌어다 놓는다. ||  [Tab]키를 누르고 해당 시트의 탭을 클릭한 상태에서 원하는 위치에 끌어다 놓는다.,,
 시트의 하단 중앙에 쪽 번호를 - 1 - 같이 인쇄하고자 한다. 다른 화면의 ‘가운데’에 표시된 디폴트 값을 어떻게 수정해야 하는가?,no, - &[쪽 번호] - ||  -&[쪽 번호]- ||  &- [쪽 번호] - ||  -&[쪽 번호]--,,
 엑셀의 [셀서식]-[표시형식] 탭의 사용자 정의를 설정할 때 사용되는 형식에 대한 설명 중 옳지 않은 것은?,no, # : 하나의 자릿수를 의미하며 해당 자리수에 숫자가 없을 경우는 0을 표시한다. ||  mmm : 월을 영문자로 표시한다. ||  @ : 입력된 문자열과 함께 특정 문자열을 항상 나타낼 때 사용한다. ||  % : 입력된 숫자에 100을 곱한 후 % 기호를 붙인다.,,
 다음 그림에서 셀 서식이 지정된 셀에 -23456이 입력되었을 때 셀에 나타나는 결과값은?,no, -,,
0BB2XX -0BB3XX -4BB4XX - 찾기의 찾을 문자열에 삼?주식회사 같이 입력하였다. 설명이 바르게 된 것은?,no, 삼으로 시작하고 주식회사로 끝나는 6문자를 찾아라. ||  삼으로 시작하고 주식회사로 끝나는 모든 문자를 찾아라. ||  삼으로 시작하는 모든 문자를 찾아라. ||  주식회사로 끝나는 모든 문자를 찾아라.,,
 다음 그림과 같은 [삽입] 메뉴의 ‘행’을 선택하면 어떻게 되는가?,no, 선택된 영역 아래에 한 개의 행이 삽입된다. ||  선택된 영역 아래에 5개의 행이 삽입된다. ||  선택된 영역 위에 한 개의 행이 삽입된다. ||  선택된 영역 위에 5개의 행이 삽입된다.,,
 다음과 같이 ‘가격’에 대하여 ‘인상률’을 적용하여‘인상 가격’을 계산하고자 한다. C2 셀의 수식을 C4 셀까지 채우기 핸들로 끌어 계산하고자 할 때 C2 셀에 들어갈 수식으로 알맞은 것은?,no, =B2+B2*$B6 ||  =B2+B2*B6$ ||  =B2+B2*$B$6 ||  =B2+B2*B,,
 다음 함수식을 실행했을 때 나타나는 결과로 옳지 않은 것은?,no," =RIGHT(""Computer"",5)............. puter ||  =SQRT(5)............................... 25 ||  =TRUNC(",,
"6)........................... 5BB4XX =OR(6<5, 7>5)....................... TRUE 아래 그림과 같은 객관식 시험 답안의 ‘o/x’ 채점 결과에 대하여 ‘o' 한 개당 20점으로 시험 점수를 계산하고 싶을 때 올바른 수식은?",no," =COUNT(C2:G2,""o"")*20 ||  =COUNTIF(C2:G2,""o"")*20 ||  =SUM(C2:G2,""o"")*20 ||  = SUMIF(C2:G2,""o"")*",,
 워크시트에 추가된 내용을 차트에 추가하려고 한다. 적당하지 않은 방법은?,no, 추가된 데이터의 범위를 지정하여 복사한 다음 차트를 선택하여 시트영역 위에서 붙여넣기 한다. ||  추가된 데이터의 범위를 지정하여 차트 영역위로 드래그 한다. ||  차트를 선택하고 단축메뉴 [원본 데이터]-[데이터 범위]탭에서 데이터 범위를 추가된 부분까지 포함하여 새로 설정한다. ||  새로 추가된 범위를 포함하여 차트를 다시 작성해야만 가능하다.,,
 아래 그림 (a)의 차트에서 월별로 각 대리점의 판매현황을 쉽게 비교하기 위하여 아래 그림 (b)와 같은 차트로 변경하려고 한다. 이때 이용되는 차트의 단축 메뉴는?,no, 차트 종류 ||  원본 데이터 ||  차트 옵션 ||  위치,,
 다음의 그림과 같은 상태에서 ‘확인’버튼을 눌러서 얻을 수 있는 목표값은 무엇인가?,no," 재고비용을 100,000으로 줄이기 위해서 판매하여야 할 판매량 ||  재고비용을 100,000으로 줄이기 위해서 생산하여야 할 생산량 ||  재고비용을 100,000으로 줄이기 위해서 줄여야 할 재고량 ||  재고비용을 100,000으로 늘이기 위해서 생산하여야 할 생산량",,
 고급 필터 기능을 활용하기 위해 필터 조건을 다음과 같이 지정하였을 때 검색 결과는?,no, 거주지가 서울이거나 연령이 25세 이하인 사람 ||  거주지가 서울이면서 연령이 25세 이하인 사람 ||  거주지가 서울이거나 연령이 25세 이상인 사람 ||  거주지가 서울이면서 연령이 25세 이상인 사람,,
 아래 <그림1>의 데이터를 가지고 <그림2>의 부분합을 구하고자 한다. 실행순서가 바르게 나열된 것은?,no, 가) - 다) - 라) - 나) - 마) ||  라) - 나) - 마) - 가) - 다) ||  라) - 가) - 다) - 나) - 마) ||  라) - 나) - 다) - 마) - 가),,
 고급 필터를 이용하여 원하는 레코드를 검색하려고 할 때 아래 그림과 같은 메시지가 나타났다. 이러한 메시지가 나타나지 않게 하려면 고급 필터의 옵션 지정시 어느 범위를 충분하게 지정해 주어야 하는가?,no, 데이터 범위 ||  찾을 조건 범위 ||  복사 위치 ||  참조 영역,,
 다음은 새 매크로를 기록할 때의 작성 과정을 설명하고 있다. 잘못 설명된 것은?,no," 매크로를 실행할 때 상대참조로 기록하기 위해서는 [매크로 종료]도구모음에서 [상대참조]를 눌러 매크로를 기록한다. ||  매크로 바로가는 키를 실행하려면, [Ctrl]키 + 지정한 키를 사용한다. ||  매크로 이름의 첫 글자는 문자나 숫자이어야 한다. ||  매크로 기록이 끝나면 [매크로 종료] 도구모음에서 [매크로 종료]를 누른다.",,
 아래 매크로 창에 대한 설명으로 잘못된 것은?,no, 메뉴 중 [도구]의 [매크로]명령으로 나타난 창이다. ||  매크로 이름을 선택하고 [실행]단추를 클릭하면 매크로가 자동실행된다. ||  매크로 이름을 선택하고 [편집]단추를 클릭하면 매크로 기록 내용을 편집할 수 있는 매크로 모듈창이 열린다. ||  매크로 이름을 선택하고 [옵션]단추를 클릭하면 매크로 이름과 바로 가는 키를 변경할 수 있다.,,
